country,temperature,foodweb.name,beach,area,depth,elevation
Portugal,19,l2p1,paimogo,1.12,0.32,1
Portugal,18,l2p2,paimogo,5.99,0.26,1.5
Portugal,18,l2p3,paimogo,0.3,0.25,1.5
Portugal,20,l2p4,paimogo,0.72,0.2,2.2
Portugal,19,l3p1,peralta,14.69,0.54,2.2
Portugal,21,l3p2,peralta,0.36,0.21,2.2
Portugal,21,l3p3,peralta,10.8,0.17,1
Portugal,22,l3p4,peralta,1.68,0.14,1
Portugal,19,l4p1,peralta,4.72,0.34,2
Portugal,18,l4p2,peralta,0.93,0.14,1
Portugal,19,l4p3,peralta,0.27,0.23,1
Portugal,20,l4p4,peralta,9.09,0.29,1.1
Madeira,20,pc1p1,porto da cruz 1,1.14,0.51,1
Madeira,20,pc1p2,porto da cruz 2,0.5,0.26,1.2
Madeira,21,pc1p3,porto da cruz 3,1.02,0.32,1
Madeira,21,pc1p4,porto da cruz 4,1.96,0.34,1
Madeira,21,pc2p1,porto da cruz 2,0.6,0.55,1.2
Madeira,22,pc2p2,porto da cruz 3,13.79,0.72,0.9
Madeira,22,pc2p3,porto da cruz 4,3.02,0.6,2
Madeira,24,pc2p4,porto da cruz 5,1.56,0.26,1.3
Madeira,26,pc2p5,porto da cruz 6,0.93,0.22,1.2
Madeira,20,rmp1,reis magos,2.6,0.38,1.7
Madeira,20,rmp2,reis magos,0.9,0.18,1.7
Madeira,21,rmp3,reis magos,2.54,0.15,1
Madeira,22,rmp4,reis magos,0.83,0.25,0.9
Madeira,23,rmp5,reis magos,0.4,0.3,1.6
Mozambique,24,f1p1,cabo inhaca,1.55,0.41,1
Mozambique,24,f1p2,cabo inhaca,0.73,0.24,1.5
Mozambique,24,f1p3,cabo inhaca,0.64,0.38,0.5
Mozambique,24,f1p4,cabo inhaca,0.2,0.32,0.5
Mozambique,24,f2p1,cabo inhaca,7.35,0.4,1
Mozambique,24,f2p2,cabo inhaca,2.4,0.38,0.5
Mozambique,23,f2p3,cabo inhaca,0.39,0.2,0.4
Mozambique,23,f2p4,cabo inhaca,2.33,0.47,1
Brazil - SP,28,ap1,NA,0.29,0.12,0.7
Brazil - SP,29,ap2,NA,2.52,0.8,0.4
Brazil - SP,30,ap3,NA,15.07,0.4,0.1
Brazil - SP,36,ap4,NA,2.56,0.3,0.9
Brazil - SP,26,bp1,bravinha,10.26,0.46,1
Brazil - SP,27,bp2,bravinha,2.78,0.13,2.2
Brazil - SP,28,bp3,bravinha,0.64,0.3,0.7
Brazil - SP,26,cgp1,cabelo gordo,0.71,0.8,0.7
Brazil - SP,33,cgp2,cabelo gordo,2.41,0.7,0.7
Brazil - SP,35,cgp3,cabelo gordo,32.5,0.21,0.3
Brazil - SP,27,fp1,fortaleza,0.64,0.12,0.5
Brazil - SP,28,pgsbp1,p. grande sb,1.46,0.26,0.6
Brazil - SP,31,pgsbp2,p. grande sb,3.27,0.11,0.1
Brazil - SP,24,pgubp1,p. grande ubatuba,0.32,0.21,1.4
Brazil - SP,26,pgubp2,p. grande ubatuba,0.55,0.37,1.6
Brazil - SP,28.5,pgubp3,p. grande ubatuba,0.43,0.73,0.7
Brazil - SP,30,pgubp4,p. grande ubatuba,0.53,0.23,0.5
Brazil - SP,33,sp1,segredos,8.46,0.21,0.3
Brazil - CE,30,fxap1,NA,3.9,0.56,0.5
Brazil - CE,30,fxap2,NA,11.6,0.43,0.5
Brazil - CE,31,fxap3,NA,0.62,0.5,0.5
Brazil - CE,31,fxap4,NA,0.38,0.11,0.1
Brazil - CE,32,fxbp1,NA,0.45,0.13,0.1
Brazil - CE,31,fxbp2,NA,1.27,0.15,0.1
Brazil - CE,29,fxbp3,NA,3.31,0.18,0.5
Brazil - CE,29,fxbp4,NA,18.78,0.55,0.5
Brazil - CE,31,gjap1,guajiru,4.19,0.42,0.1
Brazil - CE,34,gjap2,guajiru,0.16,0.22,0.1
Brazil - CE,33,gjap3,guajiru,1.43,0.21,0.1
Brazil - CE,29,gjap4,guajiru,0.33,0.19,0.1
Brazil - CE,32,gjbp1,guajiru,6.12,0.58,0.5
Brazil - CE,34,gjbp2,guajiru,4.74,0.48,0.5
Brazil - CE,33,gjbp3,guajiru,0.28,0.17,0.1
Brazil - CE,33,gjbp4,guajiru,0.18,0.15,0.1
