foodwebName,LandUse,LitterDiv,MainTreeSpec,Exploratory,Litterlayer_mm,Humuslayer_mm,Totallayer_mm,Littermass_g/m²,PHsoil,PHlitter,C_mg/g,N_mg/g,Al_mg/g,Ca_mg/g,Cu_mg/g,Fe_mg/g,K_mg/g,Mg_mg/g,Mn_mg/g,Na_mg/g,P_mg/g,Zn_mg/g,S_mg/g,C/N,C/P,C/N/P,N/P
hew02,conifer,2,spruce,Hainich,20.625,30,50.625,0.44,5.1275,5.6725,426.36299,14.43821,0.005753,0.015147,4.6e-5,0.00438,0.003537,0.002252,1.86e-4,1.86e-4,8.73e-4,6.2e-5,0.00135,29.530183,488582.134911,33839.522691,16545.177775
hew03,conifer,3,spruce,Hainich,23.125,76.25,99.375,1.28,3.87,5.095,463.78155,15.69867,0.001434,0.013308,2.8e-5,0.001187,0.001664,8.82e-4,9.34e-4,8.7e-5,7.39e-4,5.9e-5,0.001273,29.542729,627318.670174,39959.988341,21234.283226
hew04,beech30,2,beech,Hainich,23.125,1.25,24.375,0.19,6.795,6.0025,385.48466,11.40918,0.009309,0.024294,3.6e-5,0.008478,0.002376,0.001922,6.13e-4,1.68e-4,5.26e-4,7.9e-5,0.001144,33.787236,733375.037113,64279.381788,21705.682934
hew05,beech30,1,beech,Hainich,32.5,2.5,35,0.56,5.7925,6.0175,412.35275,14.03617,0.008098,0.019256,2.7e-5,0.00403,0.002479,0.001708,8.35e-4,1.34e-4,5.6e-4,6.6e-5,0.001159,29.377868,735732.019697,52416.864408,25043.751261
hew06,beech70,2,beech,Hainich,32.5,6.25,38.75,0.17,4.7425,5.745,428.53508,16.42069,0.002536,0.014931,2.9e-5,0.002438,0.002331,0.00159,0.001498,1.45e-4,0.001025,6.5e-5,0.001287,26.097264,417933.577111,25451.645279,16014.459564
hew10,beechNat,4,beech,Hainich,26.25,2.5,28.75,0.29,6.73,5.145,406.40549,12.30292,0.008582,0.019535,3.8e-5,0.005806,0.003501,0.001908,5.63e-4,1.19e-4,5.89e-4,5.4e-5,0.001022,33.033255,690417.977784,56118.220535,20900.694888000002
hew11,beechNat,4,beech,Hainich,40,5.5,45.5,0.36,5.7675,5.835,345.93357,13.68104,0.016801,0.01567,4e-5,0.010049,0.004441,0.003012,0.001065,1.79e-4,8.53e-4,8e-5,0.001205,25.285619,405354.917673,29628.954939,16031.045622
hew12,beechNat,1,beech,Hainich,36.25,20,56.25,0.91,5.1775,5.635,379.44515,14.82568,0.004926,0.013259,3.3e-5,0.004419,0.002074,0.001344,0.001462,1.17e-4,7.92e-4,7.9e-5,0.001251,25.593777,479005.713895,32309.190128,18715.710116
hew13,conifer,5,spruce,Hainich,38.75,2.5,41.25,0.67,5.9525,5.39,425.86273,17.5011,0.004501,0.018144,3e-5,0.003276,0.002695,0.00167,2.45e-4,1.34e-4,8.58e-4,6.6e-5,0.001477,24.333484,496410.897211,28364.554069,20400.321844
hew16,beech30,5,beech,Hainich,42.5,17.5,60,0.19,6.5875,5.9425,366.91444,13.24759,0.010163,0.017819,3.5e-5,0.007368,0.003802,0.00247,0.001186,1.53e-4,8.37e-4,6.3e-5,0.001126,27.696694,438347.812312,33088.872188,15826.71997
hew17,beech30,2,beech,Hainich,35,17.5,52.5,0.28,4.48,5.75,434.50821,16.96625,0.001919,0.017184,1.2e-5,0.001436,0.001719,0.001276,0.002153,9.2e-5,6.64e-4,7.4e-5,0.001439,25.61015,654119.53466,38554.161035,25541.417399
hew21,beech70,1,beech,Hainich,30,3.75,33.75,0.43,5.78,6.145,401.2373,15.74229,0.004963,0.014899,3.3e-5,0.003605,0.002077,0.002576,4.95e-4,1.67e-4,6.25e-4,6.3e-5,0.001285,25.487861,641823.509347,40770.657214,25181.536744
hew22,beech70,1,beech,Hainich,36.25,18.125,54.375,0.47,6.016667,6,354.39388,13.00884,0.007376,0.014783,1.4e-5,0.005763,0.002302,0.001606,0.001191,1.37e-4,5.44e-4,6.4e-5,0.001025,27.242543,651794.393623,50103.959586,23925.6078
hew36,beechNat,2,beech,Hainich,30,5.5,35.5,0.32,3.82,4.625,395.77229,13.43307,0.006392,0.016898,2.4e-5,0.004707,0.002614,0.001522,8.17e-4,1.24e-4,5.98e-4,5.2e-5,0.001023,29.462535,661531.542777,49246.489654,22453.314054
hew47,beech70,3,beech,Hainich,52.5,21.25,73.75,0.45,5.7825,5.88,410.02361,15.75072,0.003243,0.018335,3.5e-5,0.002461,0.00191,0.001278,0.00103,1.14e-4,7.97e-4,5.9e-5,0.001266,26.032055,514697.199193,32677.693413,19771.669903
sew01,conifer,3,pine,Schorfheide,27.5,10,37.5,0.83,3.8925,4.366667,411.47404,11.38086,0.002546,0.005973,3.1e-5,0.003565,0.001702,7.41e-4,0.001147,1.05e-4,6.66e-4,6.8e-5,0.001021,36.154916,617760.071437,54280.614245,17086.474973
sew02,conifer,2,pine,Schorfheide,11.25,18.75,30,1.38,3.71,4.4125,489.78161,12.30097,6.55e-4,0.007758,2.6e-5,8.36e-4,7.89e-4,4.46e-4,0.00145,5.9e-5,5.57e-4,5.4e-5,9.38e-4,39.816503,879294.292706,71481.703695,22083.664423
sew03,conifer,1,pine,Schorfheide,26.25,25,51.25,0.92,3.2775,4.6225,458.04226,13.39311,7.51e-4,0.004749,2.9e-5,0.001206,0.00226,8.84e-4,0.001243,9.7e-5,8.05e-4,5.7e-5,0.001136,34.199843,568738.941707,42465.039241,16629.869933
sew04,beech30,2,beech,Schorfheide,40,50,90,0.93,3.4825,4.606667,454.48952,15.53658,8.01e-4,0.010734,2.8e-5,0.001645,0.001038,8.46e-4,0.002904,9e-5,8.04e-4,6.8e-5,0.001339,29.252868,565226.67444,36380.379365,19322.09448
sew05,beech70,2,beech,Schorfheide,17.5,7.5,25,0.34,4.6925,5.53,431.14407,16.31172,5.03e-4,0.010611,2.7e-5,9.9e-4,0.00122,0.00105,0.002191,7e-5,8.64e-4,5.1e-5,0.001219,26.431552,498972.12204,30589.792005,18877.897457
sew06,beech30,2,beech,Schorfheide,43.125,15,58.125,0.52,4.6925,5.386667,422.42294,15.41207,0.001993,0.011624,3.1e-5,0.002851,0.001596,0.001277,0.003401,1.25e-4,9.65e-4,7.2e-5,0.001212,27.408579,437818.175209,28407.486808,15973.764028
sew07,beechNat,1,beech,Schorfheide,42.5,19.375,61.875,0.54,4.32,5.866667,324.53949,11.98734,0.002114,0.009908,2.8e-5,0.004939,0.001081,9.27e-4,0.002184,1.32e-4,6.63e-4,4.6e-5,9.81e-4,27.07352,489760.357564,40856.466703,18090.014022
sew08,beechNat,2,beech,Schorfheide,30.625,11.25,41.875,0.29,4.2475,5.3475,396.63536,13.46774,0.001044,0.011717,3.1e-5,0.002872,0.001245,9.55e-4,0.002929,1.6e-4,7.27e-4,4.6e-5,0.001063,29.450773,545948.55374,40537.503229,18537.664355
sew09,beechNat,2,beech,Schorfheide,36.25,21.25,57.5,0.23,5.0075,5.8975,377.1632,12.44456,8.33e-4,0.010324,3.4e-5,0.002429,0.001318,7.39e-4,0.00392,9.2e-5,7.89e-4,4.7e-5,9.96e-4,30.307476,478215.006694,38427.634781,15778.780495
sew18,conifer,2,pine,Schorfheide,45,40,85,0.57,3.2725,5.0125,470.02457,14.96534,5.53e-4,0.004821,1.9e-5,8.21e-4,0.001587,6.96e-4,0.001198,9.9e-5,7.38e-4,6.4e-5,0.001237,31.407544,636619.483043,42539.593691,20269.636148
sew35,beech70,2,beech,Schorfheide,31.25,23.75,55,0.35,4.5175,5.445,413.79707,14.66684,0.00135,0.0104,2.7e-5,0.00266,0.001255,0.001094,0.003918,9.3e-5,7.89e-4,5.5e-5,0.001128,28.213103,524234.97994,35742.871671,18581.259102
sew36,beech70,1,beech,Schorfheide,33.75,15,48.75,0.47,4.33,5.6325,412.826,14.33364,8.54e-4,0.012884,3.5e-5,0.002079,0.001399,0.001089,0.003782,7.6e-5,8.72e-4,6e-5,0.001141,28.801198,473388.63699,33026.407597,16436.421889
sew37,beech70,2,beech,Schorfheide,31.25,15.625,46.875,0.19,4.5275,5.2325,365.40825,12.58917,0.001195,0.009319,3.2e-5,0.002808,0.001107,8.94e-4,0.002268,8.5e-5,7.51e-4,5e-5,9.63e-4,29.025603,486445.436259,38639.992649,16759.184536
sew41,beech30,3,beech,Schorfheide,37.5,18.75,56.25,0.33,4.29,4.775,413.76911,13.9549,0.001504,0.009923,3.3e-5,0.002144,0.001206,9.93e-4,0.003091,8.8e-5,7.77e-4,5.2e-5,0.001126,29.650453,532631.793993,38168.083898,17963.698213
sew43,beech30,1,beech,Schorfheide,55,22.5,77.5,0.7,3.93,5.445,418.41087,13.75577,0.00093000000000000005,0.013885,3.2e-5,0.001903,0.001505,9.59e-4,0.00273,1.12e-4,8.54e-4,6.3e-5,0.001053,30.417117,489715.702881,35600.748114,16100.003746
sew48,beechNat,2,beech,Schorfheide,37.5,20,57.5,0.32,5.1925,5.1925,454.53194,12.81586,4.83e-4,0.0124,2.9e-5,8.03e-4,0.00111,0.001191,0.003687,8.1e-5,7.32e-4,5e-5,9.92e-4,35.466363,620990.662551,48454.856916,17509.28525
